Week,City,Rainfall (mm),River Level (m),Flood Risk Level,Affected People,Relief Camps,Relief Supplied (kg),Latitude,Longitude
2025-W27,Lahore,120,4.1,High,3200,4,5200,31.5497,74.3436
2025-W27,Karachi,85,2.7,Medium,1500,3,3900,24.8607,67.0011
2025-W27,Sialkot,190,4.9,High,4100,5,8750,32.4945,74.5229
2025-W27,Multan,60,1.8,Low,45,1,900,30.1575,71.5249
2025-W27,Hyderabad,102,3.6,High,3400,4,6400,25.396,68.3578
2025-W28,Dera Ghazi Khan,150,4.3,High,3000,5,7250,30.051,70.6348
2025-W28,Sukkur,75,2.1,Medium,1300,2,2000,27.7052,68.8574
2025-W28,Nowshera,110,3.0,Medium,1700,3,4500,34.0151,71.9742
2025-W28,Charsadda,98,3.2,Medium,1450,3,3600,34.1458,71.7308
2025-W28,Muzaffargarh,140,4.7,High,3900,5,8000,30.0703,71.1933
2025-W29,Rahim Yar Khan,60,1.6,Low,90,1,1100,28.4202,70.2989
2025-W29,Jhang,180,4.5,High,4500,5,9100,31.2746,72.3114
2025-W29,Badin,170,4.0,High,3800,5,7550,24.655,68.8383
2025-W29,Ghotki,95,2.9,Medium,1200,2,2800,28.0061,69.3161
2025-W29,Jacobabad,115,3.3,Medium,1600,3,4700,28.281,68.4386
2025-W30,Lahore,140,4.4,High,3100,4,6300,31.5497,74.3436
2025-W30,Karachi,70,2.2,Medium,1000,2,2200,24.8607,67.0011
2025-W30,Sialkot,160,5.1,High,4200,5,9600,32.4945,74.5229
2025-W30,Multan,55,1.5,Low,30,1,800,30.1575,71.5249
2025-W30,Hyderabad,105,3.7,High,2900,4,6000,25.396,68.3578
2025-W31,Dera Ghazi Khan,148,4.3,High,3600,5,7900,30.051,70.6348
2025-W31,Sukkur,88,2.5,Medium,1400,2,2500,27.7052,68.8574
2025-W31,Nowshera,120,3.1,Medium,1800,3,4300,34.0151,71.9742
2025-W31,Charsadda,100,3.3,Medium,1500,3,3950,34.1458,71.7308
2025-W31,Muzaffargarh,138,4.6,High,3700,5,8550,30.0703,71.1933
2025-W32,Rahim Yar Khan,68,1.9,Low,80,1,950,28.4202,70.2989
2025-W32,Jhang,175,4.8,High,4400,5,9300,31.2746,72.3114
2025-W32,Badin,165,3.9,High,3700,4,7000,24.655,68.8383
2025-W32,Ghotki,92,2.8,Medium,1250,2,2700,28.0061,69.3161
2025-W32,Jacobabad,112,3.2,Medium,1500,3,4500,28.281,68.4386
2025-W33,Lahore,135,4.3,High,3000,4,6200,31.5497,74.3436
2025-W33,Karachi,78,2.4,Medium,1100,2,2100,24.8607,67.0011
2025-W33,Sialkot,172,5.2,High,4300,5,9700,32.4945,74.5229
2025-W33,Multan,58,1.6,Low,35,1,850,30.1575,71.5249
2025-W33,Hyderabad,100,3.5,High,2800,4,5800,25.396,68.3578
2025-W34,Dera Ghazi Khan,155,4.4,High,3500,5,8000,30.051,70.6348
2025-W34,Sukkur,90,2.6,Medium,1350,2,2400,27.7052,68.8574
2025-W34,Nowshera,115,3.0,Medium,1600,3,4000,34.0151,71.9742
2025-W34,Charsadda,102,3.4,Medium,1550,3,3700,34.1458,71.7308
2025-W34,Muzaffargarh,145,4.8,High,3800,5,8900,30.0703,71.1933
2025-W35,Rahim Yar Khan,65,1.7,Low,60,1,900,28.4202,70.2989
2025-W35,Jhang,182,4.9,High,4600,5,9400,31.2746,72.3114
2025-W35,Badin,168,4.1,High,3900,5,8200,24.655,68.8383
2025-W35,Ghotki,98,3.0,Medium,1300,2,2600,28.0061,69.3161
2025-W35,Jacobabad,118,3.4,Medium,1700,3,4900,28.281,68.4386
2025-W36,Lahore,142,4.5,High,3200,4,6450,31.5497,74.3436
2025-W36,Karachi,72,2.3,Medium,950,2,2000,24.8607,67.0011
2025-W36,Sialkot,165,5.0,High,4100,5,9500,32.4945,74.5229
2025-W36,Multan,52,1.4,Low,25,1,750,30.1575,71.5249
2025-W36,Hyderabad,108,3.6,High,3100,4,6350,25.396,68.3578
